;0;1
146;http://www.journaldelenvironnement.net/article/produits-de-soins-l-illinois-vote-la-fin-des-microbilles-de-plastique,46918;2014/10/06
147;http://www.journaldelenvironnement.net/article/les-eaux-australiennes-aussi-sont-saturees-de-plastiques,39850;2013/11/28
148;http://www.journaldelenvironnement.net/article/ecover-utilise-du-plastique-issu-du-nettoyage-des-mers,46008;2014/05/13
149;http://www.journaldelenvironnement.net/article/le-parlement-europeen-acte-la-disparition-des-sacs-en-plastique,45171;2014/04/16
150;http://www.journaldelenvironnement.net/article/les-dechets-plastique-aussi-nombreux-dans-les-grands-fonds-marins,45679;2014/05/05
151;http://www.journaldelenvironnement.net/article/sacs-plastique-interdictions-et-taxes-se-multiplient-aux-etats-unis,45414;2014/04/23
152;http://www.journaldelenvironnement.net/article/le-parlement-europeen-s-attaque-a-tous-les-dechets-plastique,41608;2014/01/14
153;http://www.journaldelenvironnement.net/article/les-nations-unies-volent-au-secours-des-oceans,83401;2017/06/06
154;http://www.journaldelenvironnement.net/article/reduction-de-l-utilisation-des-sacs-en-plastique-adoption-d-un-projet-de-directive-par-le-parlement-europeen,45291;2014/04/18
155;http://www.journaldelenvironnement.net/article/les-villes-et-regions-europeennes-reclament-la-fin-des-sacs-en-plastique,44905;2014/08/04
156;http://www.journaldelenvironnement.net/article/san-francisco-veut-limiter-les-bouteilles-d-eau-en-plastique,43652;2014/06/03
157;http://www.journaldelenvironnement.net/article/le-lac-de-garde-macropollue-par-les-plastiques,37480;2013/08/10
158;http://www.journaldelenvironnement.net/article/les-bioplastiques-une-fausse-bonne-solution,70659;2016/05/24
159;http://www.journaldelenvironnement.net/article/modification-de-la-liste-communautaire-des-substances-autorisees-pour-la-fabrication-de-materiaux-et-d-objets-en-matiere-plastique,44219;2014/03/21
160;http://www.journaldelenvironnement.net/article/en-mediterranee-deux-tiers-des-oiseaux-pelagiques-ingerent-du-plastique,43454;2014/02/28
161;http://www.journaldelenvironnement.net/article/restriction-a-l-utilisation-de-pigments-de-cadmium-dans-des-matieres-plastiques-annulation-par-le-tue,41008;2013/12/24
162;http://www.journaldelenvironnement.net/article/vers-une-reduction-de-80-de-l-utilisation-des-sacs-plastique-en-europe,43835;2014/11/03
163;http://www.journaldelenvironnement.net/article/livre-vert-sur-une-strategie-europeenne-en-matiere-de-dechets-plastiques-avis-du-cese,39562;2013/11/22
164;http://www.journaldelenvironnement.net/article/plastiques-l-extension-des-consignes-de-tri-fait-un-flop,36460;2013/09/13
165;http://www.journaldelenvironnement.net/article/la-chine-interdit-l-importation-de-nombreux-dechets,84961;2017/07/25
166;http://www.journaldelenvironnement.net/article/un-rapport-du-parlement-europeen-propose-de-reduire-de-80-l-usage-des-sacs-plastique,41389;2014/08/01
167;http://www.journaldelenvironnement.net/article/zero-plastique-en-decharge-en-2020,39991;2013/02/12
168;http://www.journaldelenvironnement.net/article/microplastiques-le-royaume-uni-alimente-l-ocean-arctique,72324;2016/05/07
169;http://www.journaldelenvironnement.net/article/la-future-taxe-anglaise-sur-les-sacs-plastique-vivement-critiquee,42580;2014/06/02
170;http://www.journaldelenvironnement.net/article/la-tamise-elle-aussi-charrie-des-dechets-plastique,41221;2014/02/01
171;http://www.journaldelenvironnement.net/article/alerte-aux-plaques-de-dechets-dans-le-pacifique-sud,84664;2017/07/17
172;http://www.journaldelenvironnement.net/article/l-interdiction-des-sacs-plastique-validee-en-californie,41509;2014/09/01
173;http://www.journaldelenvironnement.net/article/du-remous-dans-les-sacs-plastique,41506;2014/09/01
174;http://www.journaldelenvironnement.net/article/la-sortie-du-statut-de-dechets-elargie-a-de-nombreux-objets-usages,95431;2018/12/21
175;http://www.journaldelenvironnement.net/article/vers-une-reduction-de-consommation-des-sacs-en-plastique-legers,40903;2013/12/20
176;http://www.journaldelenvironnement.net/article/bruxelles-sort-les-dechets-plastiques-de-l-eau,33518;2013/08/03
177;http://www.journaldelenvironnement.net/article/ue-la-fin-des-sacs-plastique-au-bon-vouloir-des-etats-membres,38690;2013/04/11
178;http://www.journaldelenvironnement.net/article/reduction-de-l-utilisation-des-sacs-en-plastique-proposition-de-directive-de-la-commission,38790;2013/06/11
179;http://www.journaldelenvironnement.net/article/conseil-de-l-ue-reduction-des-sacs-en-plastique-legers-et-des-emissions-de-co2-du-transport-maritime,40756;2013/12/18
180;http://www.journaldelenvironnement.net/article/les-moules-de-la-braderie-de-lille-ont-des-relents-de-plastique,36247;2013/02/09
181;http://www.journaldelenvironnement.net/article/forte-concentration-de-particules-plastiques-dans-les-grands-lacs,34573;2013/07/05
182;http://www.journaldelenvironnement.net/article/eco-emballages-veut-developper-l-incineration-des-plastiques,34860;2013/05/28
183;http://www.journaldelenvironnement.net/article/bientot-la-fin-a-la-carte-des-sacs-plastique-en-europe,38204;2013/10/23
184;http://www.journaldelenvironnement.net/article/dechets-plastiques-la-france-va-devoir-moderniser-tous-ses-centres-de-tri,33720;2013/03/19
185;http://www.journaldelenvironnement.net/article/trop-de-plastiques-francais-finissent-en-decharge,33012;2013/08/02
186;http://www.journaldelenvironnement.net/article/dechets-plastiques-publication-d-un-livre-vert,33532;2013/11/03
187;http://www.journaldelenvironnement.net/article/le-recyclage-des-plastiques-ne-s-emballe-pas,31818;2012/11/23
188;http://www.journaldelenvironnement.net/article/reach-impact-de-l-elargissement-de-restriction-du-cadmium-et-de-ses-composes-dans-les-matieres-plastiques,32623;2013/01/16
