;0
141;https://www.lemonde.fr/sciences/article/2018/06/10/nausicaa-dans-les-coulisses-du-grand-bleu_5312637_1650684.html?xtmc=plastique_ocean&xtcr=223
142;https://www.lemonde.fr/archives/article/1988/03/18/le-pays-de-tous-les-sens_4072324_1819218.html?xtmc=plastique_ocean&xtcr=440
143;https://www.lemonde.fr/archives/article/1992/03/04/une-vraie-mine-de-fossiles-de-primates-35-tonnes-de-sediments-du-sultanat-d-oman-passees-au-peigne-fin-une-moisson-de-plus-en-plus-riche-dans-la-paleontologie-animale-et-prehumaine_3873006_1819218.html?xtmc=plastique_ocean&xtcr=410
144;https://www.lemonde.fr/international/article/2016/12/16/au-kenya-les-refugies-pieges-de-dadaab_5050140_3210.html?xtmc=plastique_ocean&xtcr=529
145;https://www.lemonde.fr/japon/article/2013/12/17/voyage-au-coeur-de-la-centrale-de-fukushima_4335629_1492975.html?xtmc=plastique_ocean&xtcr=318
146;https://www.lemonde.fr/archives/article/2004/03/21/comores-un-candidat-interpelle-apres-le-saccage-de-quatre-bureaux-de-vote_357609_1819218.html?xtmc=plastique_ocean&xtcr=150
147;https://www.lemonde.fr/cinema/article/2011/04/05/plastic-planet-le-chant-toxique-du-styrene_1503001_3476.html?xtmc=plastique_ocean&xtcr=44
148;https://www.lemonde.fr/planete/article/2018/06/08/oceans-dix-chiffres-pour-resumer-les-enjeux-et-les-risques_5311528_3244.html?xtmc=plastique_ocean&xtcr=35
149;https://www.lemonde.fr/archives/article/1996/04/18/les-six-mesanges-de-tabarly_3731327_1819218.html?xtmc=plastique_ocean&xtcr=488
150;https://www.lemonde.fr/archives/article/1992/07/31/bernanos-et-le-roman-oui-ou-non_3895652_1819218.html?xtmc=plastique_ocean&xtcr=489
151;https://www.lemonde.fr/archives/article/2001/10/24/a-i-les-enfants-robots-souffrent-ils-du-complexe-d-338-dipe_236515_1819218.html?xtmc=plastique_ocean&xtcr=221
152;https://www.lemonde.fr/m-perso/article/2017/02/06/le-sac-en-plastique-trop-lourd-a-porter_5075377_4497916.html?xtmc=plastique_ocean&xtcr=64
153;https://www.lemonde.fr/archives/article/1989/12/24/le-spleen-des-jardiniers-de-la-mer-les-conchyliculteurs-de-marennes-oleron-craignent-l-amalgame-avec-l-etang-de-thau_4162153_1819218.html?xtmc=plastique_ocean&xtcr=444
154;https://www.lemonde.fr/archives/article/1978/06/19/lettre-de-qous-haute-egypte-une-capitale-islamique-oubliee_3128851_1819218.html?xtmc=plastique_ocean&xtcr=420
155;https://www.lemonde.fr/planete/article/2013/12/18/a-tacloban-la-vie-reprend-en-compagnie-des-cadavres_4336289_3244.html?xtmc=plastique_ocean&xtcr=229
156;https://www.lemonde.fr/le-monde-2/article/2009/01/06/benicio-del-toro-le-jeu-de-la-mort_1136551_1004868.html?xtmc=plastique_ocean&xtcr=518
157;https://www.lemonde.fr/archives/article/1989/04/06/l-enquete-les-eveques-conservateurs-en-progres-dans-le-nordeste-bresil-le-crepuscule-de-l-eglise-populaire_4106860_1819218.html?xtmc=plastique_ocean&xtcr=523
158;https://www.lemonde.fr/archives/article/1998/03/20/vie-secrete-des-bibliothecaires_3658337_1819218.html?xtmc=plastique_ocean&xtcr=374
159;https://www.lemonde.fr/festival/article/2016/07/21/la-sale-fin-de-vie-du-sac-plastique_4972737_4415198.html?xtmc=plastique_ocean&xtcr=42
160;https://www.lemonde.fr/les-decodeurs/article/2018/03/23/visualisez-la-taille-de-l-enorme-decharge-flottante-de-plastique-dans-l-ocean-pacifique_5275416_4355770.html?xtmc=plastique_ocean&xtcr=4
161;https://www.lemonde.fr/economie/article/2018/04/21/le-gouvernement-britannique-declare-la-guerre-au-plastique_5288748_3234.html?xtmc=plastique_ocean&xtcr=29
162;https://www.lemonde.fr/a-la-une/article/2013/12/21/aux-philippines-une-prison-tres-prisee_4338436_3208.html?xtmc=plastique_ocean&xtcr=319
163;https://www.lemonde.fr/archives/article/1992/12/26/l-entetement-amer-des-femmes-de-mogadiscio-dans-les-decombres-de-la-capitale-somalienne-elles-tentent-de-survivre-et-de-panser-les-mille-plaies-de-la-guerre_3933133_1819218.html?xtmc=plastique_ocean&xtcr=364
164;https://www.lemonde.fr/archives/article/1981/04/13/noblesse-oblige_2733032_1819218.html?xtmc=plastique_ocean&xtcr=162
165;https://www.lemonde.fr/afrique/article/2017/08/28/pour-lutter-contre-la-pollution-le-kenya-bannit-les-sacs-en-plastique_5177680_3212.html?xtmc=plastique_ocean&xtcr=22
166;https://www.lemonde.fr/archives/article/1985/01/14/l-rsquo-aventure-et-l-rsquo-aventurier-existent-ils-encore_2761297_1819218.html?xtmc=plastique_ocean&xtcr=435
